From	Entry	Entry Name	Protein names	Gene Names	Organism
"Q7Z422	SUZ domain-containing protein 1"	Q7Z422	SZRD1_HUMAN	SUZ RNA-binding domain-containing (SUZ domain-containing protein 1) (Putative MAPK-activating protein PM18/PM20/PM22)	SZRD1 C1orf144	Homo sapiens (Human)
"Q9P0W2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related"	Q9P0W2	HM20B_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related (SMARCE1-related protein) (BRCA2-associated factor 35) (HMG box-containing protein 20B) (HMG domain-containing protein 2) (HMG domain-containing protein HMGX2) (Sox-like transcriptional factor) (Structural DNA-binding protein BRAF35)	HMG20B BRAF35 HMGX2 HMGXB2 SMARCE1R	Homo sapiens (Human)
"Q6SJ96	TATA box-binding protein-like protein 2"	Q6SJ96	TBPL2_HUMAN	TATA box-binding protein-like 2 (TBP-like 2) (TATA box-binding protein-related factor 3 (TBP-related factor 3))	TBPL2 TBP2 TRF3	Homo sapiens (Human)
"Q92804	TATA-binding protein-associated factor 2N"	Q92804	RBP56_HUMAN	TATA-binding protein-associated factor 2N (68 kDa TATA-binding protein-associated factor (TAF(II)68) (TAFII68)) (RNA-binding protein 56)	TAF15 RBP56 TAF2N	Homo sapiens (Human)
"P78371	T-complex protein 1 subunit beta"	P78371	TCPB_HUMAN	T-complex protein 1 subunit beta (TCP-1-beta) (EC 3.6.1.-) (CCT-beta) (Chaperonin containing T-complex polypeptide 1 subunit 2)	CCT2 99D8.1 CCTB	Homo sapiens (Human)
"P48643	T-complex protein 1 subunit epsilon"	P48643	TCPE_HUMAN	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (EC 3.6.1.-) (CCT-epsilon) (Chaperonin containing T-complex polypeptide 1 subunit 5)	CCT5 CCTE KIAA0098	Homo sapiens (Human)
"P50990	T-complex protein 1 subunit theta"	P50990	TCPQ_HUMAN	T-complex protein 1 subunit theta (TCP-1-theta) (EC 3.6.1.-) (CCT-theta) (Chaperonin containing T-complex polypeptide 1 subunit 8) (Renal carcinoma antigen NY-REN-15)	CCT8 C21orf112 CCTQ KIAA0002	Homo sapiens (Human)
"Q5UIP0	Telomere-associated protein RIF1"	Q5UIP0	RIF1_HUMAN	Telomere-associated protein RIF1 (Rap1-interacting factor 1 homolog)	RIF1	Homo sapiens (Human)
"O95881	Thioredoxin domain-containing protein 12"	O95881	TXD12_HUMAN	Thioredoxin domain-containing protein 12 (EC 1.8.4.2) (Endoplasmic reticulum resident protein 18 (ER protein 18) (ERp18)) (Endoplasmic reticulum resident protein 19 (ER protein 19) (ERp19)) (Thioredoxin-like protein p19) (hTLP19)	TXNDC12 TLP19	Homo sapiens (Human)
"P10599	Thioredoxin"	P10599	THIO_HUMAN	Thioredoxin (Trx) (ATL-derived factor (ADF)) (Surface-associated sulphydryl protein (SASP))	TXN TRDX TRX TRX1	Homo sapiens (Human)
"Q86V81	THO complex subunit 4"	Q86V81	THOC4_HUMAN	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF)	ALYREF ALY BEF THOC4	Homo sapiens (Human)
"Q15643	Thyroid receptor-interacting protein 11"	Q15643	TRIPB_HUMAN	Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210 (GMAP-210)) (Trip230)	TRIP11 CEV14	Homo sapiens (Human)
"Q8WZ42	Titin"	Q8WZ42	TITIN_HUMAN	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)
"Q9UKE5	TRAF2 and NCK-interacting protein kinase"	Q9UKE5	TNIK_HUMAN	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	TNIK KIAA0551	Homo sapiens (Human)
"P37837	Transaldolase"	P37837	TALDO_HUMAN	Transaldolase (EC 2.2.1.2)	TALDO1 TAL TALDO TALDOR	Homo sapiens (Human)
"P51532	Transcription activator BRG1"	P51532	SMCA4_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4 (SMARCA4) (EC 3.6.4.-) (BRG1-associated factor 190A (BAF190A)) (Mitotic growth and transcription activator) (Protein BRG-1) (Protein brahma homolog 1) (SNF2-beta) (Transcription activator BRG1)	SMARCA4 BAF190A BRG1 SNF2B SNF2L4	Homo sapiens (Human)
"D6R992	Transcription factor RelB"	D6R992	D6R992_HUMAN	Transcription factor RelB	RELB	Homo sapiens (Human)
"Q13263	Transcription intermediary factor 1-beta"	Q13263	TIF1B_HUMAN	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28 (EC 2.3.2.27)) (KRAB-associated protein 1 (KAP-1)) (KRAB-interacting protein 1 (KRIP-1)) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)
"P46100	Transcriptional regulator ATRX"	P46100	ATRX_HUMAN	Chromatin remodeler ATRX (EC 3.6.4.-) (Transcriptional regulator ATRX) (X-linked helicase II) (X-linked nuclear protein (XNP)) (Znf-HX)	ATRX RAD54L XH2	Homo sapiens (Human)
"P62995	Transformer-2 protein homolog beta"	P62995	TRA2B_HUMAN	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)
"P37802	Transgelin-2"	P37802	TAGL2_HUMAN	Transgelin-2 (Epididymis tissue protein Li 7e) (SM22-alpha homolog)	TAGLN2 KIAA0120	Homo sapiens (Human)
"E9PSI1	Transmembrane 9 superfamily member"	E9PSI1	E9PSI1_HUMAN	Transmembrane 9 superfamily member		Homo sapiens (Human)
"Q9BVK6	Transmembrane emp24 domain-containing protein 9"	Q9BVK6	TMED9_HUMAN	Transmembrane emp24 domain-containing protein 9 (GMP25) (Glycoprotein 25L2) (p24 family protein alpha-2 (p24alpha2)) (p25)	TMED9 GP25L2	Homo sapiens (Human)
"E7ETY2	Treacle protein"	E7ETY2	E7ETY2_HUMAN	Treacle ribosome biogenesis factor 1	TCOF1	Homo sapiens (Human)
"H9KVB4	Trinucleotide repeat-containing gene 18 protein"	H9KVB4	H9KVB4_HUMAN	Trinucleotide repeat-containing gene 18 protein	TNRC18	Homo sapiens (Human)
"Q3LXA3	Triokinase/FMN cyclase"	Q3LXA3	TKFC_HUMAN	Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing))	TKFC DAK	Homo sapiens (Human)
