From	Entry	Entry Name	Protein names	Gene Names	Organism
"Q9BZE4	Nucleolar GTP-binding protein 1"	Q9BZE4	GTPB4_HUMAN	GTP-binding protein 4 (Chronic renal failure gene protein) (GTP-binding protein NGB) (Nucleolar GTP-binding protein 1)	GTPBP4 CRFG NOG1	Homo sapiens (Human)
"Q9NUG6	p53 and DNA damage-regulated protein 1"	Q9NUG6	PDRG1_HUMAN	p53 and DNA damage-regulated protein 1	PDRG1 C20orf126 PDRG	Homo sapiens (Human)
"Q13451	Peptidyl-prolyl cis-trans isomerase FKBP5"	Q13451	FKBP5_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP5 (PPIase FKBP5) (EC 5.2.1.8) (51 kDa FK506-binding protein (51 kDa FKBP) (FKBP-51)) (54 kDa progesterone receptor-associated immunophilin) (Androgen-regulated protein 6) (FF1 antigen) (FK506-binding protein 5 (FKBP-5)) (FKBP54 (p54)) (HSP90-binding immunophilin) (Rotamase)	FKBP5 AIG6 FKBP51	Homo sapiens (Human)
"Q9NSD9	Phenylalanine--tRNA ligase beta subunit"	Q9NSD9	SYFB_HUMAN	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit (PheRS))	FARSB FARSLB FRSB	Homo sapiens (Human)
"P00558	Phosphoglycerate kinase 1"	P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.11.1) (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2 (PRP 2))	PGK1 PGKA	Homo sapiens (Human)
"O15067	Phosphoribosylformylglycinamidine synthase"	O15067	PUR4_HUMAN	Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase (FGAR amidotransferase) (FGAR-AT)) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase)	PFAS KIAA0361	Homo sapiens (Human)
"Q9HB19	Pleckstrin homology domain-containing family A member 2"	Q9HB19	PKHA2_HUMAN	Pleckstrin homology domain-containing family A member 2 (PH domain-containing family A member 2) (Tandem PH domain-containing protein 2 (TAPP-2))	PLEKHA2 TAPP2	Homo sapiens (Human)
"Q86UW9	Probable E3 ubiquitin-protein ligase DTX2"	Q86UW9	DTX2_HUMAN	Probable E3 ubiquitin-protein ligase DTX2 (EC 2.3.2.27) (Protein deltex-2 (Deltex2) (hDTX2)) (RING finger protein 58) (RING-type E3 ubiquitin transferase DTX2)	DTX2 KIAA1528 RNF58	Homo sapiens (Human)
"A0A1W2PNZ9	Probable JmjC domain-containing histone demethylation protein 2C"					
"C9JIZ6	Prosaposin"	P07602	SAP_HUMAN	Prosaposin (Proactivator polypeptide)	PSAP GLBA SAP1	Homo sapiens (Human)
"K7ESG5	Proteasome activator complex subunit 3"	K7ESG5	K7ESG5_HUMAN	Proteasome activator subunit 3	PSME3	Homo sapiens (Human)
"J3KN16	Proteasome adapter and scaffold protein ECM29"	J3KN16	J3KN16_HUMAN	Proteasome adapter and scaffold protein ECM29 (Proteasome-associated protein ECM29 homolog)	ECPAS	Homo sapiens (Human)
"A0A0C4DGG1	Protein kinase C and casein kinase substrate in neurons protein 3 (Fragment)"	A0A0C4DGG1	A0A0C4DGG1_HUMAN	Protein kinase C and casein kinase substrate in neurons 3	PACSIN3	Homo sapiens (Human)
"Q9BRX2	Protein pelota homolog"	Q9BRX2	PELO_HUMAN	Protein pelota homolog (hPelota) (Protein Dom34 homolog)	PELO	Homo sapiens (Human)
"Q9P258	Protein RCC2"	Q9P258	RCC2_HUMAN	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	RCC2 KIAA1470 TD60	Homo sapiens (Human)
"Q08AE8	Protein spire homolog 1"	Q08AE8	SPIR1_HUMAN	Protein spire homolog 1 (Spir-1)	SPIRE1 KIAA1135 SPIR1	Homo sapiens (Human)
"Q58FF8	Putative heat shock protein HSP 90-beta 2"	Q58FF8	H90B2_HUMAN	Putative heat shock protein HSP 90-beta 2 (Heat shock protein 90-beta b (Heat shock protein 90Bb))	HSP90AB2P HSP90BB	Homo sapiens (Human)
"Q15276	Rab GTPase-binding effector protein 1"	Q15276	RABE1_HUMAN	Rab GTPase-binding effector protein 1 (Rabaptin-4) (Rabaptin-5) (Rabaptin-5alpha) (Renal carcinoma antigen NY-REN-17)	RABEP1 RAB5EP RABPT5 RABPT5A	Homo sapiens (Human)
"A0A5K1VW74	RAC-gamma serine/threonine-protein kinase"	A0A5K1VW74	A0A5K1VW74_HUMAN	non-specific serine/threonine protein kinase (EC 2.7.11.1)	AKT3	Homo sapiens (Human)
"A0A0A0MSJ9	Ras GTPase-activating protein 2"	Q15283	RASA2_HUMAN	Ras GTPase-activating protein 2 (GTPase-activating protein 1m (GAP1m))	RASA2 GAP1M RASGAP	Homo sapiens (Human)
"E7END7	Ras-related protein Rab-1A"	E7END7	E7END7_HUMAN	small monomeric GTPase (EC 3.6.5.2)	RAB1A	Homo sapiens (Human)
"Q5JT25	Ras-related protein Rab-41"	Q5JT25	RAB41_HUMAN	Ras-related protein Rab-41 (EC 3.6.5.2)	RAB41	Homo sapiens (Human)
"J3QLU9	Receptor protein-tyrosine kinase"	J3QLU9	J3QLU9_HUMAN	Receptor protein-tyrosine kinase (EC 2.7.10.1)	ERBB2	Homo sapiens (Human)
"Q15293	Reticulocalbin-1"	Q15293	RCN1_HUMAN	Reticulocalbin-1	RCN1 RCN	Homo sapiens (Human)
"Q9NZN5	Rho guanine nucleotide exchange factor 12"	Q9NZN5	ARHGC_HUMAN	Rho guanine nucleotide exchange factor 12 (Leukemia-associated RhoGEF)	ARHGEF12 KIAA0382 LARG	Homo sapiens (Human)
"Q8N0T1	Ribosomal biogenesis factor"	Q8N0T1	RBIS_HUMAN	Ribosomal biogenesis factor	RBIS C8orf59	Homo sapiens (Human)
"Q9GZR1	Sentrin-specific protease 6"	Q9GZR1	SENP6_HUMAN	Sentrin-specific protease 6 (EC 3.4.22.-) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	SENP6 KIAA0797 SSP1 SUSP1	Homo sapiens (Human)
