From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"O15020	Spectrin beta chain, non-erythrocytic 2"	O15020	SPTN2_HUMAN	Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)	SPTBN2 KIAA0302 SCA5	Homo sapiens (Human)	auto	
"O95347	Structural maintenance of chromosomes protein 2"	O95347	SMC2_HUMAN	Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E (hCAP-E)) (XCAP-E homolog)	SMC2 CAPE SMC2L1	Homo sapiens (Human)	auto	
"Q9Y490	Talin-1"	Q9Y490	TLN1_HUMAN	Talin-1	TLN1 KIAA1027 TLN	Homo sapiens (Human)	auto	
"Q9BYX2	TBC1 domain family member 2A"	Q9BYX2	TBD2A_HUMAN	TBC1 domain family member 2A (Armus) (Prostate antigen recognized and identified by SEREX 1 (PARIS-1))	TBC1D2 PARIS1 PP8997 TBC1D2A	Homo sapiens (Human)	auto	
"P63313	Thymosin beta-10"	P63313	TYB10_HUMAN	Thymosin beta-10	TMSB10 PTMB10 THYB10	Homo sapiens (Human)	auto	
"Q8WZ42	Titin"	Q8WZ42	TITIN_HUMAN	Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)	TTN	Homo sapiens (Human)	auto	
"Q6IPX3	Transcription elongation factor A protein-like 6"	Q6IPX3	TCAL6_HUMAN	Transcription elongation factor A protein-like 6 (TCEA-like protein 6) (Transcription elongation factor S-II protein-like 6)	TCEAL6	Homo sapiens (Human)	auto	
"Q7KZ85	Transcription elongation factor SPT6"	Q7KZ85	SPT6H_HUMAN	Transcription elongation factor SPT6 (hSPT6) (Histone chaperone suppressor of Ty6) (Tat-cotransactivator 2 protein (Tat-CT2 protein))	SUPT6H KIAA0162 SPT6H	Homo sapiens (Human)	auto	
"F2Z2U4	Transformation/transcription domain-associated protein"	F2Z2U4	F2Z2U4_HUMAN	Transformation/transcription domain associated protein	TRRAP	Homo sapiens (Human)	auto	
"Q9H061	Transmembrane protein 126A"	Q9H061	T126A_HUMAN	Transmembrane protein 126A	TMEM126A	Homo sapiens (Human)	auto	
"U3KQK2	Tropomyosin beta chain (Fragment)"	U3KQK2	U3KQK2_HUMAN	Tropomyosin 2	TPM2	Homo sapiens (Human)	auto	
"Q9BQE3	Tubulin alpha-1C chain"	Q9BQE3	TBA1C_HUMAN	Tubulin alpha-1C chain (EC 3.6.5.-) (Alpha-tubulin 6) (Tubulin alpha-6 chain)	TUBA1C TUBA6	Homo sapiens (Human)	auto	
"Q9NZ09	Ubiquitin-associated protein 1"	Q9NZ09	UBAP1_HUMAN	Ubiquitin-associated protein 1 (UBAP-1) (Nasopharyngeal carcinoma-associated gene 20 protein)	UBAP1	Homo sapiens (Human)	auto	
"Q16222	UDP-N-acetylhexosamine pyrophosphorylase"	Q16222	UAP1_HUMAN	UDP-N-acetylhexosamine pyrophosphorylase (Antigen X (AGX)) (Protein-pyrophosphorylation enzyme (EC 2.7.4.-)) (Sperm-associated antigen 2) (UDP-N-acetylgalactosamine pyrophosphorylase (EC 2.7.7.83)) (UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23))	UAP1 SPAG2	Homo sapiens (Human)	auto	
"P06132	Uroporphyrinogen decarboxylase"	P06132	DCUP_HUMAN	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	UROD	Homo sapiens (Human)	auto	
"Q9P0L0	Vesicle-associated membrane protein-associated protein A"	Q9P0L0	VAPA_HUMAN	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein (VAP-33))	VAPA VAP33	Homo sapiens (Human)	auto	
"Q8WU90	Zinc finger CCCH domain-containing protein 15"	Q8WU90	ZC3HF_HUMAN	Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)	ZC3H15 DFRP1 LEREPO4	Homo sapiens (Human)	auto	
