From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"1433E_HUMAN	14-3-3 protein epsilon"	P62258	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	auto	
"PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7"	P51665	PSMD7_HUMAN	26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40)	PSMD7 MOV34L	Homo sapiens (Human)	auto	
"RS17_HUMAN	40S ribosomal protein S17"	P08708	RS17_HUMAN	Small ribosomal subunit protein eS17 (40S ribosomal protein S17)	RPS17 RPS17L	Homo sapiens (Human)	auto	
"RS28_HUMAN	40S ribosomal protein S28"	P62857	RS28_HUMAN	Small ribosomal subunit protein eS28 (40S ribosomal protein S28)	RPS28	Homo sapiens (Human)	auto	
"RLA2_HUMAN	60S acidic ribosomal protein P2"	P05387	RLA2_HUMAN	Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2) (Renal carcinoma antigen NY-REN-44)	RPLP2 D11S2243E RPP2	Homo sapiens (Human)	auto	
"ACBP_HUMAN	Acyl-CoA-binding protein"	P07108	ACBP_HUMAN	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor (DBI)) (Endozepine (EP))	DBI	Homo sapiens (Human)	auto	
"KAD2_HUMAN	Adenylate kinase 2, mitochondrial"	P54819	KAD2_HUMAN	Adenylate kinase 2, mitochondrial (AK 2) (EC 2.7.4.3) (ATP-AMP transphosphorylase 2) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	AK2 ADK2	Homo sapiens (Human)	auto	
"CAP1_HUMAN	Adenylyl cyclase-associated protein 1"	Q01518	CAP1_HUMAN	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	Homo sapiens (Human)	auto	
"ACTN1_HUMAN	Alpha-actinin-1"	P12814	ACTN1_HUMAN	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)	ACTN1	Homo sapiens (Human)	auto	
"ENOA_HUMAN	Alpha-enolase"	P06733	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase (NNE)) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	auto	
"ANX11_HUMAN	Annexin A11"	P50995	ANX11_HUMAN	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50 (CAP-50))	ANXA11 ANX11	Homo sapiens (Human)	auto	
"ANXA2_HUMAN	Annexin A2"	P07355	ANXA2_HUMAN	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV (PAP-IV)) (Protein I) (p36)	ANXA2 ANX2 ANX2L4 CAL1H LPC2D	Homo sapiens (Human)	auto	
"KI67_HUMAN	Proliferation marker protein Ki- 67"	P46013	KI67_HUMAN	Proliferation marker protein Ki-67 (Antigen identified by monoclonal antibody Ki-67 (Antigen KI-67) (Antigen Ki67))	MKI67	Homo sapiens (Human)	auto	
"ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus"	Q9UKV3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	ACIN1 ACINUS KIAA0670	Homo sapiens (Human)	auto	
"ATPA_HUMAN	ATP synthase subunit alpha, mitochondrial"	P25705	ATPA_HUMAN	ATP synthase F(1) complex subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)	auto	
"ATPB_HUMAN	ATP synthase subunit beta, mitochondrial"	P06576	ATPB_HUMAN	ATP synthase F(1) complex subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B ATPMB ATPSB	Homo sapiens (Human)	auto	
"CALD1_HUMAN	Caldesmon (Fragment)"	Q05682	CALD1_HUMAN	Caldesmon (CDM)	CALD1 CAD CDM	Homo sapiens (Human)	auto	
"CNN2_HUMAN	Calponin-2"	Q99439	CNN2_HUMAN	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)	CNN2	Homo sapiens (Human)	auto	
